BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
0,12600,83552,107186,HomeImp,Other,21,0,0,128.6602454,4,24,28.72301762
0,42600,22446,66485,DebtCon,Other,17,0,0,204.2036332,0,30,41.15627594
0,24200,90626,116601,DebtCon,Self,2,0,0,226.1163866,1,27,34.49993837
0,52400,27234,83482,HomeImp,Other,2,2,0,250.6140239,6,14,40.54824598
0,26300,94916,127526,DebtCon,ProfExe,0,0,0,195.8476245,2,37,36.01849565
1,20300,180254,220843,HomeImp,ProfExe,11,0,0,217.1281672,0,25,41.56310065
1,16800,50445,71711,DebtCon,Other,5,0,0,71.23076169,5,18,40.58291348
0,18800,98582,122597,HomeImp,Mgr,1,0,0,307.5247903,1,20,39.39416893
0,19000,52157,157459,DebtCon,ProfExe,19,0,0,248.7235332,0,28,21.92019846
0,19000,167104,200184,DebtCon,ProfExe,9,0,0,256.6483436,0,38,23.66867849
0,25300,22361,50688,DebtCon,Other,24,0,0,125.407464,0,11,25.18149884
1,30200,80951,116160,DebtCon,ProfExe,19,4,0,130.3603618,0,58,50.35299879
0,12700,27459,38577,HomeImp,Mgr,16,0,0,72.32957204,0,9,31.60566546
0,12500,93538,118369,DebtCon,ProfExe,0,0,1,132.8237118,0,33,34.83386481
1,50200,197770,271676,DebtCon,Mgr,16,0,0,146.8625413,1,20,42.9265802
0,15600,47537,66581,DebtCon,Other,7,0,1,116.6148587,3,48,30.37280108
1,27200,61118,35184,DebtCon,Sales,10,4,2,134.6489043,7,23,45.25528966
0,25300,56393,86612,DebtCon,Mgr,6,0,0,258.1473687,1,25,33.19387553
0,26500,134952,165451,DebtCon,Other,8,1,0,225.3236722,1,19,35.73485637
0,17400,97072,155146,DebtCon,Mgr,0,0,0,204.1656163,0,19,40.50796477
0,31400,16209,62450,DebtCon,Other,1,0,0,108.3876577,1,6,38.12127507
0,12600,45633,77578,DebtCon,ProfExe,19,0,0,209.7255196,0,15,23.91561488
0,9300,63566,70551,DebtCon,ProfExe,14,0,0,138.3373521,0,19,42.48370297
0,10300,54925,84078,HomeImp,Other,2,0,1,189.6952729,0,13,29.13369741
0,21500,100727,146904,HomeImp,ProfExe,11,0,0,153.2238882,1,23,34.96596275
0,11300,64437,79857,DebtCon,Office,5,0,0,88.78915597,2,14,27.89926789
0,27900,50988,81533,DebtCon,Office,1,0,0,167.6144501,2,18,40.62088475
0,17100,91502,113251,DebtCon,Other,18,0,0,289.9544006,0,16,24.45832061
0,12000,36072,62960,DebtCon,ProfExe,8,0,0,288.5298732,0,16,22.42300246
1,18200,95091,113294,DebtCon,ProfExe,15,0,3,188.504617,0,36,78.65438605
0,60000,38944,69961,DebtCon,Other,2,0,0,96.69392888,0,20,28.38550102
0,12100,67927,94126,DebtCon,Other,2,0,0,35.53887812,2,3,38.84759708
0,8000,57361,71167,HomeImp,Mgr,2,0,1,130.767035,0,22,29.38198544
0,16500,126872,167611,DebtCon,Office,5,0,0,136.1224347,1,21,26.40452841
0,18500,14517,95150,HomeImp,Other,11,0,0,272.0341024,0,22,27.47858304
0,31600,11478,66275,DebtCon,Other,1,0,0,97.19863392,1,5,35.94520575
0,5800,75000,90543,DebtCon,Mgr,18,0,0,300.4872058,1,23,38.94057536
0,23400,89226,119604,DebtCon,Self,3,0,0,221.6813833,1,26,34.5562014
0,15400,59518,91172,DebtCon,Office,2,0,0,159.0035106,0,25,24.9904907
0,17800,44326,79651,DebtCon,ProfExe,4,0,0,246.7969491,3,32,32.50901207
0,14700,76888,96552,DebtCon,ProfExe,9,2,0,189.5639063,0,30,29.41770877
0,11900,56792,64130,DebtCon,Mgr,13,0,0,118.6125902,1,18,32.6657463
0,16100,68905,91572,DebtCon,Office,3,0,0,165.4571246,0,25,24.92011999
0,9700,75566,92066,DebtCon,Office,14,0,0,94.98792219,0,8,25.16118347
0,11300,62168,80681,DebtCon,Sales,6,0,0,117.3762292,0,34,27.69452127
0,12100,105104,144712,HomeImp,ProfExe,13,0,0,129.5188081,5,22,37.41377466
0,9100,59430,76897,HomeImp,Other,5,0,1,246.0951091,1,16,37.47092338
0,20000,43087,61438,DebtCon,Other,14,0,0,276.5624153,0,20,29.29517878
0,25900,61064,94714,DebtCon,Office,2,0,0,98.80937484,0,23,34.56594425
1,5800,27791,46833,DebtCon,Mgr,3,0,0,83.28906275,1,13,30.18780539
0,38100,204071,270794,DebtCon,ProfExe,3,0,0,230.3985765,0,32,31.36973939
0,27600,64818,91915,DebtCon,Other,16,0,0,99.60460781,0,17,32.46114433
0,33700,12512,42634,DebtCon,Other,28,0,0,184.134954,0,15,42.48237422
0,23500,94109,97194,DebtCon,ProfExe,1,1,0,116.8186482,0,20,35.86611643
0,22400,38669,105881,HomeImp,Other,6,0,0,125.2428417,0,14,32.77827083
0,15100,96763,114896,HomeImp,Office,2,0,0,144.52965,0,21,36.37170403
0,13400,9698,65524,HomeImp,Other,9,1,0,345.5431065,1,21,15.76191917
0,24300,55579,98320,DebtCon,ProfExe,1,0,0,187.0218108,0,26,33.47337359
1,11700,54085,68239,HomeImp,Other,2,1,2,8.055265077,3,15,32.01265858
0,31000,133471,188154,DebtCon,ProfExe,0,0,0,218.5382606,2,18,40.31508349
0,7800,69662,80498,HomeImp,Other,4,0,0,100.428331,0,14,42.80734195
0,17000,73644,107086,DebtCon,ProfExe,0,0,0,280.4533436,2,20,37.77195785
0,10100,66393,85605,DebtCon,Office,6,1,1,203.6995629,3,29,37.66930513
0,14200,46320,62044,DebtCon,Other,6,0,0,106.9838955,2,49,29.05790842
0,21800,107271,161219,DebtCon,Mgr,15,0,0,187.2974769,0,26,31.55694874
1,3300,130518,164317,DebtCon,Other,9,0,6,192.289149,0,33,35.73055919
0,27200,83894,121302,DebtCon,ProfExe,6,0,1,124.2746965,0,18,29.73248931
0,26300,189302,249773,DebtCon,Other,7,0,0,106.6093074,1,26,42.7693867
1,16500,143404,165267,DebtCon,Mgr,14,0,1,169.7373629,1,31,36.178122
0,18700,59929,89526,DebtCon,Office,0,0,0,64.45472528,0,22,35.08734865
0,18400,110580,137926,DebtCon,ProfExe,6,0,0,93.43274991,0,13,29.11688772
